,count,mean,std,min,25%,50%,75%,max
worst_daily_pnl,23.0,-40715.53768947827,81530.27113790347,-358963.139984,-32543.835142000004,-8394.889856,-479.16203900000005,0.0
pnl_q10,23.0,-927.1585615521738,3136.340944084778,-14858.899999999994,-80.35533895000002,0.0,0.0,1.24088
