Account,date,daily_pnl,trades_per_day,win_rate,avg_trade_size_usd,long_ratio,short_ratio,risk_proxy,fees,classification,value,sentiment_group
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,0.0,5089.718248587571,0.0,1.0,130.95708974784063,167.796055,Extreme Greed,76.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,0.0,7976.664411764705,0.0,1.0,174.7489183538937,67.883615,Extreme Greed,90.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,0.0,23734.5,0.0,1.0,52.48407061533917,94.93798300000002,Extreme Greed,83.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,0.0,28186.666666666668,1.0,0.0,44.189544345353085,33.823995,Extreme Greed,94.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,0.4444444444444444,17248.14814814815,0.4444444444444444,0.5555555555555556,479.78036099079065,104.62249,Extreme Greed,79.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,0.0,16058.536341463414,1.0,0.0,41.96758359731829,131.679967,Extreme Greed,77.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,0.0,48561.68565217392,0.0,1.0,126.02524467271955,390.921553,Extreme Greed,84.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,0.0,36736.36242424243,1.0,0.0,76.99205129499222,121.229992,Greed,72.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,0.04946236559139785,11410.954021505377,0.24086021505376345,0.7591397849462366,92.02511305842125,780.33644,Extreme Greed,77.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,0.5490196078431373,9400.588039215687,0.5490196078431373,0.45098039215686275,1.377706972458224,23.971493,Extreme Greed,76.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,0.9,185847.0,0.9,0.1,93845.8717510013,92.923496,Greed,60.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,0.30512514898688914,23593.019856972587,0.4171632896305125,0.5828367103694875,909.8451144384707,2355.038296,Fear,44.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,0.15630885122410546,10576.687156308852,0.20903954802259886,0.7909604519774012,51.20500615870766,704.19937,Greed,72.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,0.37142857142857144,26585.06338095238,0.37142857142857144,0.6285714285714286,25.425314941809066,700.101577,Neutral,54.0,Neutral/Other
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,0.9361702127659575,10161.056241134751,0.9361702127659575,0.06382978723404255,6.647785563235202,0.0,Neutral,46.0,Neutral/Other
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,0.3333333333333333,32032.5,0.3333333333333333,0.6666666666666666,27.67204914503107,0.0,Fear,43.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,0.0,134600.00166666668,0.0,1.0,96.2727748098503,0.0,Neutral,47.0,Neutral/Other
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,0.5254237288135594,27178.041694915253,0.5254237288135594,0.4745762711864407,18.927916053577963,561.226533,Neutral,49.0,Neutral/Other
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,0.4246575342465753,13233.776894977169,0.4246575342465753,0.5753424657534246,9.197007016381784,555.888761,Fear,25.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,0.01818181818181818,24958.908545454546,0.01818181818181818,0.9818181818181818,20.707068866642665,137.273975,Extreme Fear,16.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,0.8,2985.797555555556,0.8,0.2,2.3236460746270335,6.71802,Extreme Fear,20.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,0.8424336973478939,8371.136099843994,0.8424336973478939,0.15756630265210608,75.91564333731812,268.294625,Fear,33.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,0.8,79640.0,0.8,0.2,219.53140300643673,39.819998,Neutral,45.0,Neutral/Other
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,31,1.0,21491.640322580646,1.0,0.0,125.43793238106369,66.62407,Fear,43.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,0.8363636363636363,2469.9509090909087,0.14545454545454545,0.8545454545454545,10.048562208327564,34.68082399,Extreme Greed,84.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,1,0.0,0.06,0.0,1.0,0.059561625838214484,0.0,Extreme Greed,81.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,34,0.0,1426.8700000000001,1.0,0.0,8.834108818408794,1.31668822,Greed,72.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,26,0.9615384615384616,2001.101153846154,0.0,1.0,0.7475535394523132,5.2028479999999995,Extreme Greed,75.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,46,0.0,1131.888695652174,1.0,0.0,25.182786108055474,1.4383267,Extreme Greed,78.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,64,0.984375,852.88625,0.0,1.0,0.9212401633616092,19.104602,Extreme Greed,78.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,59,0.2542372881355932,1913.523898305085,0.7457627118644068,0.2542372881355932,19.285805530688638,20.81460217,Extreme Greed,81.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,1,0.0,0.11,0.0,1.0,0.10947301551372954,0.0,Extreme Greed,75.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,34,0.6176470588235294,10051.199411764705,0.38235294117647056,0.6176470588235294,1222.3762983187448,119.60926,Greed,74.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,13,0.0,2845.9646153846156,1.0,0.0,1612.627028389205,61.51029,Greed,61.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,17,1.0,2440.6282352941175,0.0,1.0,0.022693280744404253,14.521732,Extreme Greed,75.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,39,0.717948717948718,2154.3915384615384,0.2564102564102564,0.7435897435897436,3.98684805049822,89.144541,Extreme Greed,77.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,124,0.6451612903225806,2194.294758064516,0.3467741935483871,0.6532258064516129,31.381031172963887,124.96169717000001,Extreme Greed,77.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,339,0.584070796460177,1737.369557522124,0.415929203539823,0.584070796460177,50.05858445298015,108.05738221,Extreme Greed,75.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,54,0.07407407407407407,2398.331666666667,0.9259259259259259,0.07407407407407407,13.672334810375439,24.25559825,Extreme Greed,75.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,44,0.0,1519.465681818182,1.0,0.0,51.98902145801956,1.05928092,Greed,71.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,56,1.0,1317.0667857142857,0.0,1.0,1.8515321612546276,25.814472,Greed,72.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,46,0.0,1602.9452173913044,1.0,0.0,43.93178051718635,1.16815524,Greed,72.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,55,1.0,1474.6896363636365,0.0,1.0,1.9405526545254062,28.387735,Greed,70.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,78,0.32051282051282054,2094.719358974359,0.6794871794871795,0.32051282051282054,9.683173467620938,29.90369878,Greed,68.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,517,0.4506769825918762,2792.42166344294,0.5222437137330754,0.47775628626692457,191.77664814448693,487.25693852,Greed,60.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,124,0.0,612.1092741935485,0.0,1.0,0.0029355822655434734,26.565471000000002,Neutral,47.0,Neutral/Other
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,159,0.7987421383647799,2687.4032704402516,0.1949685534591195,0.8050314465408805,198.25565161785195,149.553903,Neutral,46.0,Neutral/Other
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,160,0.325,1641.2224999999999,0.675,0.325,11.69120364192555,34.19572673,Neutral,49.0,Neutral/Other
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,1,0.0,82910.81,0.0,1.0,20.21705801186765,29.018782,Fear,25.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,0.0,52,0.0,1462.824423076923,1.0,0.0,8.618028554641851,1.35322108,Extreme Fear,16.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,110,0.45454545454545453,1999.099181818182,0.5454545454545454,0.45454545454545453,7.369601943601386,53.50649472,Fear,33.0,Fear
