,precision,recall,f1-score,support
Flat,0.44508670520231214,0.5620437956204379,0.4967741935483871,137.0
Loss,0.10185185185185185,0.3055555555555556,0.1527777777777778,36.0
Profit,0.7849462365591398,0.4965986394557823,0.6083333333333333,294.0
accuracy,0.5010706638115632,0.5010706638115632,0.5010706638115632,0.5010706638115632
macro avg,0.4439615978711012,0.4547326635439253,0.419295101553166,467.0
weighted avg,0.6325861645134272,0.5010706638115632,0.540488360848242,467.0
