cluster,mean_daily_pnl,std_daily_pnl,mean_trades,mean_win_rate,mean_trade_size,mean_long_ratio,mean_risk_proxy,sentiment_value_mean
0,34820.812811111115,75886.06132069965,784.8518518518518,0.4354627474078414,4695.936992428973,0.5442186587802579,35.08565447546446,33.96296296296296
1,25952.829385250192,62947.784631541865,168.454233409611,0.3235644786734423,27222.10013815122,0.5685778148164579,7275.78383998833,50.07246376811594
2,2938.69506338678,12483.73160798261,58.102637963299024,0.3439529338743261,4591.235361435151,0.4765469566386359,1380.2206340498133,55.587244296746626
